_Version,_OID,_use,_name,_mjd,_sol,_ra,_dec,_vg,_type,_a,_q,_e,_peri,_node,_incl,_M,_T/e,_r_sd,_v_sd,_Hb,_He,_zr,_mag,_mass,_memo
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000663,1,_TO_new_CAP,57598.05772,126.139587,305.705383,-9.420017,22.357233,0,2.400167,0.584797,0.756352,269.12125,126.138178,7.277554,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000664,1,_TO_new_QUA,57391.46494,283.279999,230,49.5,41.360001,0,3.13701,0.979336,0.687812,171.924636,283.295638,72.016465,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000665,1,_TO_new_XSA,57412.6987,304.899994,284.799988,-18.6,26.299999,0,1.179199,0.27165,0.769631,48.330136,304.923474,5.168516,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000666,1,_TO_new_PIH,57424.7142,317.100006,210.300003,-23,70.699997,0,34.058586,0.892067,0.973808,36.226622,137.120173,162.148036,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000667,1,_TO_new_ACE,57426.99065,319.399994,210.899994,-58.200001,58.200001,0,9.122375,0.982662,0.89228,352.637933,139.427382,108.1633,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000668,1,_TO_new_TCE,57420.36743,312.700012,210,-40,60.200001,0,1.656969,0.985435,0.405278,359.893184,132.710741,132.241218,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
501,4000000669,1,_TO_new_GBO,57428.55825,321,222.399994,39.099998,50.299999,0,494.133531,0.865469,0.998249,221.067448,321.015055,85.530031,0,0,0,0,0,0,0,0,0,_
,,,,,,,,,,,,,,,,,,,,,,,,,
