code,streamname,sol_1,sol2,sol_peak,SelectStart,SelectEnd
ALL,All streams and sporadics,,,,,
AAH,August alpha Herculids,127.099998,157.100006,142.100006,,
AAL,April alpha Librids,358.600006,28.6,13.6,,
AAN,alpha Antliids,298.100006,328.100006,313.100006,,
ABA,August beta Aquilids,133.699997,163.699997,148.699997,,
ABC,August beta Capricornids,131.399994,161.399994,146.399994,,
ABO,alpha Bootids,21.700001,51.700001,36.700001,,
ABS,April beta Sextantids,358.600006,28.6,13.6,,
ACA,alpha Canis Majorids,232,262,247,,
ACB,alpha Coronae Borealids,294.890015,324.890015,309.890015,,
ACC,alpha Cancrids,288.5,318.5,303.5,,
ACE,alpha Centaurids,304.399994,334.399994,319.399994,,
ACI,alpha Circinids,58.900002,88.900002,73.900002,,
ACM,Dayt. alpha Canis Majorids,189,219,204,,
ACN,alpha Carinids,296.200012,326.200012,311.200012,,
ACO,April alpha Comae Berenicids,2.8,32.799999,17.799999,,
ACR,alpha Crucids,286,308.399994,299.700012,,
ACT,August Cetids,138,168,153,,
ADC,August delta Capricornids,131,161,146,,
ADL,delta Librids,126.699997,156.699997,141.699997,,
ADR,alpha Draconids,65.5,95.5,80.5,,
AED,April epsilon Delphinids,5.2,35.200001,20.200001,,
AGC,August gamma Cepheids,140,170,155,,
AHE,April 102 Herculids,19,49,34,,
AHY,Alpha Hydrids,266.305237,290.810791,278.951538,,
AIC,August iota Cetids,130,160,145,,
ALA,alpha Lacertids,90.5,120.5,105.5,,
ALN,August Lyncids,120,150,135,,
ALO,April lambda Ophiuchids,1,31,16,,
ALY,alpha Lyncids,253.899994,283.899994,268.899994,,
AMD,August mu Draconids,130.399994,160.399994,145.399994,,
AMO,alpha Monocerotids,224.300003,254.300003,239.300003,,
ANA,August nu Aquariids,124.400002,154.399994,139.399994,,
AND,Andromedids,212.633865,241.908875,228.588455,,
AOC,August omicron Cetids,123.5,153.5,138.5,,
AOE,August omicron Eridanids,119,149,134,,
AOR,September alpha Orionids,168,198,183,,
APG,alpha Pegasids,91,121,106,,
API,alpha Pictorids,310,340,325,,
APS,Dayt. April Piscids,15.3,45.299999,30.299999,,
APX,alpha Pyxidids,330.899994,0.9,345.899994,,
APY,January alpha Pixidids,289.700012,319.700012,304.700012,,
ARC,April rho Cygnids,22,52,37,,
ARI,Dayt. Arietids,61.700001,91.699997,76.699997,,
ASC,alpha Scorpiids,40.200001,70.199997,55.200001,,
ASX,alpha Sextantids,222.369995,252.369995,237.369995,,
ATA,August theta Aquilids,132.300003,162.300003,147.300003,,
ATR,alpha Triangulids,105,135,120,,
AUD,August Draconids,127,157,142,,
AUM,alpha Ursae Majorids,194,224,209,,
AUP,August Piscids,117,147,132,,
AUR,Aurigids,143.699997,173.699997,158.699997,,
AUS,August upsilon Sagittariids,130.100006,160.100006,145.100006,,
AVB,alpha Virginids,13,43,28,,
AXC,August xi Cassiopeiids,120.800003,150.800003,135.800003,,
BAQ,beta Aquariids,31,61,46,,
BAR,beta Arietids,120.279999,150.279999,135.279999,,
BAU,beta Aurigids,164.300003,194.300003,179.300003,,
BCA,beta Cassiopeiids,111.599998,141.600006,126.599998,,
BCB,Bootid-Coronae Borealid Comple,281,311,296,,
BCD,beta Cancrids,301.200012,331.200012,316.200012,,
BCM,beta Camelopardalids,85,115,100,,
BCN,Dayt. beta Cancrids,198,228,213,,
BCP,beta Capricornids,152.699997,182.699997,167.699997,,
BCR,beta Craterids,358.5,28.5,13.5,,
BEQ,beta Equuleids,91.5,121.5,106.5,,
BHD,beta Hydrids,305.700012,335.700012,320.700012,,
BHE,beta Herculids,309,339,324,,
BHY,beta Hydrusids,128.800003,158.800003,143.800003,,
BIN,beta Indids,142.300003,172.300003,157.300003,,
BMO,beta Monocerotids,256,286,271,,
BPA,Beta-Pavonids,350.700012,26.299999,17.200001,,
BPE,beta Perseids,120.400002,150.399994,135.399994,,
BPG,beta Pegasids,21,51,36,,
BPH,Beta-Phoenicids,193.300003,199.300003,196.300003,,
BPI,August Beta Piscids,128.798126,151.17366,139.963425,,
